0	,	2	,	0, 0, 0, 0, 0, 0, 0, 0, 0	,	3
0	,	1	,	0, 0, 0, 1, 0, 0, 0, 0, 0	,	4
0	,	2	,	0, 0, 0, 1, 2, 0, 0, 0, 0	,	0
0	,	1	,	1, 0, 0, 1, 2, 0, 0, 0, 0	,	6
0	,	2	,	1, 0, 0, 1, 2, 0, 2, 0, 0	,	2
0	,	1	,	1, 0, 1, 1, 2, 0, 2, 0, 0	,	1
0	,	2	,	1, 2, 1, 1, 2, 0, 2, 0, 0	,	7
0	,	1	,	1, 2, 1, 1, 2, 0, 2, 1, 0	,	5
0	,	2	,	1, 2, 1, 1, 2, 2, 2, 1, 0	,	8
1	,	2	,	0, 0, 0, 0, 0, 0, 0, 0, 0	,	4
1	,	1	,	0, 0, 0, 0, 1, 0, 0, 0, 0	,	0
1	,	2	,	2, 0, 0, 0, 1, 0, 0, 0, 0	,	3
1	,	1	,	2, 0, 0, 1, 1, 0, 0, 0, 0	,	5
1	,	2	,	2, 0, 0, 1, 1, 2, 0, 0, 0	,	1
1	,	1	,	2, 1, 0, 1, 1, 2, 0, 0, 0	,	7
1	,	2	,	2, 1, 0, 1, 1, 2, 0, 2, 0	,	6
1	,	1	,	2, 1, 0, 1, 1, 2, 1, 2, 0	,	2
1	,	2	,	2, 1, 2, 1, 1, 2, 1, 2, 0	,	8
2	,	2	,	0, 0, 0, 0, 0, 0, 0, 0, 0	,	5
2	,	1	,	0, 0, 0, 0, 0, 1, 0, 0, 0	,	0
2	,	2	,	2, 0, 0, 0, 0, 1, 0, 0, 0	,	6
2	,	1	,	2, 0, 0, 0, 0, 1, 1, 0, 0	,	4
2	,	2	,	2, 0, 0, 0, 2, 1, 1, 0, 0	,	8
2	,	1	,	2, 0, 0, 0, 2, 1, 1, 0, 1	,	1
2	,	2	,	2, 2, 0, 0, 2, 1, 1, 0, 1	,	7
3	,	2	,	0, 0, 0, 0, 0, 0, 0, 0, 0	,	0
3	,	1	,	1, 0, 0, 0, 0, 0, 0, 0, 0	,	4
3	,	2	,	1, 0, 0, 0, 2, 0, 0, 0, 0	,	2
3	,	1	,	1, 0, 1, 0, 2, 0, 0, 0, 0	,	1
3	,	2	,	1, 2, 1, 0, 2, 0, 0, 0, 0	,	7
3	,	1	,	1, 2, 1, 0, 2, 0, 0, 1, 0	,	3
3	,	2	,	1, 2, 1, 2, 2, 0, 0, 1, 0	,	5
3	,	1	,	1, 2, 1, 2, 2, 1, 0, 1, 0	,	8
3	,	2	,	1, 2, 1, 2, 2, 1, 0, 1, 2	,	6
4	,	2	,	0, 0, 0, 0, 0, 0, 0, 0, 0	,	6
