,game_number, player_won, player_just_moved, cell0, cell1, cell2, cell3, cell4, cell5, cell6, cell7, cell8, best_move
8,6,2,1,1,0,0,0,0,0,0,0,0,6
9,6,2,2,1,0,0,0,0,0,2,0,0,4
10,6,2,1,1,0,0,0,1,0,2,0,0,8
11,6,2,2,1,0,0,0,1,0,2,0,2,1
12,6,2,1,1,1,0,0,1,0,2,0,2,7
13,12,1,2,0,0,0,0,0,0,0,0,0,0
14,12,1,1,1,0,0,0,0,0,0,0,0,6
15,12,1,2,1,0,0,0,0,0,2,0,0,4
16,12,1,1,1,0,0,0,1,0,2,0,0,8
17,12,1,2,1,0,0,0,1,0,2,0,2,1
18,12,1,1,1,1,0,0,1,0,2,0,2,5
19,12,1,2,1,1,0,0,1,2,2,0,2,7
20,17,2,2,0,0,0,0,0,0,0,0,0,0
21,17,2,1,1,0,0,0,0,0,0,0,0,6
22,17,2,2,1,0,0,0,0,0,2,0,0,4
23,17,2,1,1,0,0,0,1,0,2,0,0,8
24,17,2,2,1,0,0,0,1,0,2,0,2,1
25,17,2,1,1,1,0,0,1,0,2,0,2,7
0,3,1,2,0,0,0,0,0,0,0,0,0,1
1,3,1,1,0,1,0,0,0,0,0,0,0,4
2,3,1,2,0,1,0,0,2,0,0,0,0,2
3,3,1,1,0,1,1,0,2,0,0,0,0,0
4,3,1,2,2,1,1,0,2,0,0,0,0,8
5,3,1,1,2,1,1,0,2,0,0,0,1,3
6,3,1,2,2,1,1,2,2,0,0,0,1,5
7,5,2,2,0,0,0,0,0,0,0,0,0,0
8,5,2,1,1,0,0,0,0,0,0,0,0,4
9,5,2,2,1,0,0,0,2,0,0,0,0,6
10,5,2,1,1,0,0,0,2,0,1,0,0,3
11,5,2,2,1,0,0,2,2,0,1,0,0,7
12,5,2,1,1,0,0,2,2,0,1,1,0,5
13,6,2,2,0,0,0,0,0,0,0,0,0,2
14,6,2,1,0,0,1,0,0,0,0,0,0,4
15,6,2,2,0,0,1,0,2,0,0,0,0,1
16,6,2,1,0,1,1,0,2,0,0,0,0,0
17,6,2,2,2,1,1,0,2,0,0,0,0,8
18,6,2,1,2,1,1,0,2,0,0,0,1,3
19,6,2,2,2,1,1,2,2,0,0,0,1,6
20,6,2,1,2,1,1,2,2,0,1,0,1,5
21,9,1,2,0,0,0,0,0,0,0,0,0,1
22,9,1,1,0,1,0,0,0,0,0,0,0,0
23,9,1,2,2,1,0,0,0,0,0,0,0,4
24,9,1,1,2,1,0,0,1,0,0,0,0,3
25,9,1,2,2,1,0,2,1,0,0,0,0,6
26,9,1,1,2,1,0,2,1,0,1,0,0,2
27,9,1,2,2,1,2,2,1,0,1,0,0,7
28,14,2,2,0,0,0,0,0,0,0,0,0,1
29,14,2,1,0,1,0,0,0,0,0,0,0,4
30,14,2,2,0,1,0,0,2,0,0,0,0,8
31,14,2,1,0,1,0,0,2,0,0,0,1,3
32,14,2,2,0,1,0,2,2,0,0,0,1,2
33,14,2,1,0,1,1,2,2,0,0,0,1,0
34,14,2,2,2,1,1,2,2,0,0,0,1,6
35,14,2,1,2,1,1,2,2,0,1,0,1,5
36,18,2,2,0,0,0,0,0,0,0,0,0,2
37,18,2,1,0,0,1,0,0,0,0,0,0,4
38,18,2,2,0,0,1,0,2,0,0,0,0,1
39,18,2,1,0,1,1,0,2,0,0,0,0,0
40,18,2,2,2,1,1,0,2,0,0,0,0,8
41,18,2,1,2,1,1,0,2,0,0,0,1,3
42,18,2,2,2,1,1,2,2,0,0,0,1,6
43,18,2,1,2,1,1,2,2,0,1,0,1,5
0,0,2,2,0,0,0,0,0,0,0,0,0,3
1,0,2,1,0,0,0,1,0,0,0,0,0,4
2,0,2,2,0,0,0,1,2,0,0,0,0,8
3,0,2,1,0,0,0,1,2,0,0,0,1,1
4,0,2,2,0,2,0,1,2,0,0,0,1,7
5,0,2,1,0,2,0,1,2,0,0,1,1,2
6,0,2,2,0,2,2,1,2,0,0,1,1,0
7,0,2,1,1,2,2,1,2,0,0,1,1,6
8,19,2,2,0,0,0,0,0,0,0,0,0,0
9,19,2,1,1,0,0,0,0,0,0,0,0,4
10,19,2,2,1,0,0,0,2,0,0,0,0,2
